date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
18-03-2025,Kerala,Thrissur,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-03-2025,Kerala,Thrissur,1,PM10,69,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-03-2025,Kerala,Thrissur,1,PM10,68,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-03-2025,Kerala,Thrissur,1,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-03-2025,Kerala,Thrissur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-03-2025,Kerala,Thrissur,1,PM10,68,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-03-2025,Kerala,Thrissur,1,PM10,72,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-03-2025,Kerala,Thrissur,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-03-2025,Kerala,Thrissur,1,PM10,69,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-03-2025,Kerala,Thrissur,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-03-2025,Kerala,Thrissur,1,PM10,66,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-03-2025,Kerala,Thrissur,1,PM10,72,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-03-2025,Kerala,Thrissur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-03-2025,Kerala,Thrissur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-03-2025,Kerala,Thrissur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-02-2025,Kerala,Thrissur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-02-2025,Kerala,Thrissur,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-02-2025,Kerala,Thrissur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-02-2025,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-02-2025,Kerala,Thrissur,1,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-02-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-02-2025,Kerala,Thrissur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-02-2025,Kerala,Thrissur,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-02-2025,Kerala,Thrissur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-02-2025,Kerala,Thrissur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-02-2025,Kerala,Thrissur,1,PM2.5,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-02-2025,Kerala,Thrissur,1,PM2.5,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-02-2025,Kerala,Thrissur,1,PM2.5,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-02-2025,Kerala,Thrissur,1,PM2.5,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-02-2025,Kerala,Thrissur,1,PM2.5,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-02-2025,Kerala,Thrissur,1,PM2.5,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-02-2025,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-02-2025,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-02-2025,Kerala,Thrissur,1,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-02-2025,Kerala,Thrissur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-02-2025,Kerala,Thrissur,1,PM2.5,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-02-2025,Kerala,Thrissur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-02-2025,Kerala,Thrissur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-02-2025,Kerala,Thrissur,1,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-02-2025,Kerala,Thrissur,1,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-02-2025,Kerala,Thrissur,1,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-01-2025,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-01-2025,Kerala,Thrissur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-01-2025,Kerala,Thrissur,1,PM2.5,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-01-2025,Kerala,Thrissur,1,PM2.5,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-01-2025,Kerala,Thrissur,1,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-01-2025,Kerala,Thrissur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-01-2025,Kerala,Thrissur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-01-2025,Kerala,Thrissur,1,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-01-2025,Kerala,Thrissur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-01-2025,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-01-2025,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-01-2025,Kerala,Thrissur,1,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-01-2025,Kerala,Thrissur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-01-2025,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-01-2025,Kerala,Thrissur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-01-2025,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-01-2025,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-12-2024,Kerala,Thrissur,1,CO,84,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-12-2024,Kerala,Thrissur,1,CO,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-12-2024,Kerala,Thrissur,1,CO,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-12-2024,Kerala,Thrissur,1,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-12-2024,Kerala,Thrissur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-12-2024,Kerala,Thrissur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2024,Kerala,Thrissur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-12-2024,Kerala,Thrissur,1,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-12-2024,Kerala,Thrissur,1,PM2.5,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2024,Kerala,Thrissur,1,PM2.5,72,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-12-2024,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-12-2024,Kerala,Thrissur,1,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-12-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-12-2024,Kerala,Thrissur,1,PM10,45,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-12-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-12-2024,Kerala,Thrissur,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-12-2024,Kerala,Thrissur,1,CO,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-12-2024,Kerala,Thrissur,1,PM2.5,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Kerala,Thrissur,1,PM2.5,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-11-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-11-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-11-2024,Kerala,Thrissur,1,PM2.5,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-11-2024,Kerala,Thrissur,1,PM2.5,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-11-2024,Kerala,Thrissur,1,PM2.5,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-11-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-11-2024,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-11-2024,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-11-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-11-2024,Kerala,Thrissur,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-11-2024,Kerala,Thrissur,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-11-2024,Kerala,Thrissur,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-11-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-11-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-11-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-11-2024,Kerala,Thrissur,1,PM2.5,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-11-2024,Kerala,Thrissur,1,PM2.5,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-11-2024,Kerala,Thrissur,1,PM10,42,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-11-2024,Kerala,Thrissur,1,PM10,41,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-11-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-11-2024,Kerala,Thrissur,1,PM10,45,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-11-2024,Kerala,Thrissur,1,PM10,45,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-11-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-11-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-11-2024,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-11-2024,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-11-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-11-2024,Kerala,Thrissur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-10-2024,Kerala,Thrissur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-10-2024,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-10-2024,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-10-2024,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-10-2024,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-10-2024,Kerala,Thrissur,1,PM10,40,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-10-2024,Kerala,Thrissur,1,PM10,36,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-10-2024,Kerala,Thrissur,1,PM10,33,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-10-2024,Kerala,Thrissur,1,PM10,31,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-10-2024,Kerala,Thrissur,1,PM10,31,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-10-2024,Kerala,Thrissur,1,PM10,34,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2024,Kerala,Thrissur,1,PM10,34,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-10-2024,Kerala,Thrissur,1,PM10,34,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-10-2024,Kerala,Thrissur,1,PM10,34,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-10-2024,Kerala,Thrissur,1,PM10,37,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-10-2024,Kerala,Thrissur,1,PM10,42,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-10-2024,Kerala,Thrissur,1,PM10,41,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-10-2024,Kerala,Thrissur,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-10-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-10-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-10-2024,Kerala,Thrissur,1,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-10-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-10-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-10-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-10-2024,Kerala,Thrissur,1,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-09-2024,Kerala,Thrissur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-09-2024,Kerala,Thrissur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-09-2024,Kerala,Thrissur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-09-2024,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-09-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-09-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-09-2024,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-09-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-09-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-09-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-08-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-08-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-08-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-08-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-08-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-08-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-08-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
